KOHAT TEXTILE MILLS LIMITED,,,,,,,,,
,,,,,,,,,
On-Hand Inventory,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item,,Item Name,,Configuration,Size ,Color ,Style,Warehouse,Qty
CH70500100,,ACID,,-,HYDREX 1646/-,-,-,KTM-MNSTR,25.00
CH70500100,,ACID,,-,HYDREX 2330/-,-,-,KTM-MNSTR,34.00
CH70500100,,ACID,,-,HYDRO CHLORIC (HCL)/-,-,-,KTM-MNSTR,15.00
CH70500150,,ACID,,-,DIMETHYL FORMAMIDE/2«LTR,-,SIGMA ALDRICH/-/-,KTM-MNSTR,25.00
CH70500150,,ACID,,-,SULPHURIC (H2SO4)/2«LTR,-,MERCK/GERMANY/-,KTM-MNSTR,2.00
CH70502500,,SPRAY,,-,WD-40/400ML,-,MESDAN/-/-,KTM-MNSTR,10.00
CH70507800,,POTASSIUM DICHROMATE (K2CR2O7),,-,-/1KG,-,MERCK/GERMANY/-,KTM-MNSTR,2.00
CH70509000,,CHEMICAL,,-,EPOXY CHEM DUR/42,-,-,KTM-MNSTR,48.00
CH70509000,,CHEMICAL,,-,WATER CARE/A29L,-,-,KTM-MNSTR,168.00
CH70509000,,CHEMICAL,,LIQUID,CWS 102 A,-,-,KTM-MNSTR,64.00
CH70509020,,CHEMICAL,,-,CLEANING AGENT,-,-,KTM-MNSTR,22.00
CS70500001,,CEMENT,,-,-/50KGS,-/WHITE,-,KTM-MNSTR,1.00
CS70500100,,LIME STONE (QUICK),,-,-,-,-,KTM-MNSTR,40.00
CS70500400,,ENAMEL,,-,-/3.64L,-/ASH WHITE,-,KTM-MNSTR,1.00
CS70500400,,ENAMEL,,-,-,-/BLACK,-,KTM-MNSTR,3.00
CS70500400,,ENAMEL,,-,-/3.64L,-/GREY,-,KTM-MNSTR,1.00
CS70500400,,ENAMEL,,-,-/3.64L,-/MACHINE,-,KTM-MNSTR,1.00
CS70500400,,ENAMEL,,-,-/3.64L,-/PRIMER GREY,-,KTM-MNSTR,1.00
CS70500400,,ENAMEL,,-,-/3.64L,-/SILVER,BERGER/-/-,KTM-MNSTR,1.00
CS70500400,,ENAMEL,,-,-,-/YELLOW,-,KTM-MNSTR,2.00
CS70500400,,ENAMEL,,-,-/3.64L,1026/SILVER,BERGER/-/-,KTM-MNSTR,1.00
CS70500400,,ENAMEL,,-,-/3.64 LTR/-,1312/GOLDEN BROWN,HAPPILAC/-/-,KTM-MNSTR,2.00
CS70500400,,ENAMEL,,-,-/3.64L,14/SMOKE GREY,MASTER/-/-,KTM-MNSTR,3.00
